01a.proof ; Not Proved ; Timeout
01.proof ; Proved ; 31,4748
02.proof ; Not Proved ; 4,31931
03.proof ; Not Proved ; Timeout
04.proof ; Not Proved ; 4,38335
05.proof ; Not Proved ; 2,71187
06.proof ; Not Proved ; 4,32202
07_2altitude.proof ; Proved ; 30,6779
07.proof ; Not Proved ; 1,89971
08_9point.proof ; Not Proved ; Timeout
08.proof ; Not Proved ; 2,07899
09_orth.proof ; Not Proved ; 4,46503
09.proof ; Not Proved ; 28,1975
100.proof ; Not Proved ; Timeout
10_5cir.proof ; Not Proved ; Timeout
10.proof ; Not Proved ; 0,026641
11.proof ; Not Proved ; Timeout
12.proof ; Not Proved ; 0,084762
13.proof ; Not Proved ; 13,5625
14.proof ; Not Proved ; 0,407329
15_lt6000.proof ; Not Proved ; Timeout
15.proof ; Not Proved ; Timeout
16.proof ; Not Proved ; Timeout
17.proof ; Not Proved ; 0,01775
18.proof ; Not Proved ; 0,016942
19.proof ; Not Proved ; 0,015271
20.proof ; Not Proved ; 6,59559
22.proof ; Not Proved ; 78,5289
23.proof ; Not Proved ; 0,095215
24.proof ; Not Proved ; 0,020499
26.proof ; Not Proved ; Timeout
27.proof ; Not Proved ; Timeout
28.proof ; Not Proved ; 10,471
29.proof ; Not Proved ; 1,92061
2angle.proof ; Not Proved ; 6,45919
30.proof ; Not Proved ; Timeout
31.proof ; Not Proved ; 9,1127
32.proof ; Not Proved ; 0,916905
33.proof ; Not Proved ; Timeout
34.proof ; Not Proved ; 0,101003
35.proof ; Not Proved ; 71,2879
36.proof ; Not Proved ; 4,34979
37.proof ; Not Proved ; 0,89002
38.proof ; Not Proved ; 153,679
39.proof ; Not Proved ; 0,204571
40.proof ; Not Proved ; 0,285166
41.proof ; Not Proved ; 2,78159
42.proof ; Not Proved ; 2,68885
43.proof ; Not Proved ; 0,150328
44.proof ; Not Proved ; 0,170325
45.proof ; Not Proved ; 61,2617
46.proof ; Not Proved ; 3,59095
47.proof ; Not Proved ; 0,121408
48.proof ; Not Proved ; 0,014595
49.proof ; Not Proved ; Timeout
4sim.proof ; Not Proved ; Timeout
50.proof ; Not Proved ; 18,4125
51.proof ; Not Proved ; 0,015822
52.proof ; Not Proved ; Timeout
53.proof ; Not Proved ; Timeout
54-46.proof ; Not Proved ; 48,4878
54.proof ; Not Proved ; Timeout
55.proof ; Not Proved ; Timeout
56.proof ; Not Proved ; Timeout
57.proof ; Not Proved ; 2,81655
58.proof ; Not Proved ; 0,082838
59.proof ; Not Proved ; 0,079703
5cirdb.proof ; Not Proved ; Timeout
60.proof ; Not Proved ; Timeout
61.proof ; Not Proved ; Timeout
62.proof ; Not Proved ; 38,7013
63f.proof ; Not Proved ; 0,009009
64.proof ; Not Proved ; 0,029954
65.proof ; Not Proved ; 0,710166
66.proof ; Not Proved ; Timeout
67.proof ; Not Proved ; Timeout
68.proof ; Not Proved ; 0,412974
69.proof ; Not Proved ; 0,263213
70.proof ; Not Proved ; 0,088877
71.proof ; Not Proved ; 1,03918
72.proof ; Not Proved ; Timeout
73.proof ; Not Proved ; 2,18255
74.proof ; Not Proved ; 3,84624
75y.proof ; Not Proved ; 0,09659
76.proof ; Not Proved ; 28,0358
77.proof ; Not Proved ; Timeout
78.proof ; Not Proved ; 27,5835
79.proof ; Not Proved ; 0,435767
80.proof ; Not Proved ; 0,284637
81.proof ; Not Proved ; 0,386924
82.proof ; Not Proved ; 7,77542
84.proof ; Not Proved ; 70,0977
85.proof ; Not Proved ; Timeout
86.proof ; Not Proved ; 53,2231
88.proof ; Not Proved ; Timeout
89.proof ; Not Proved ; Timeout
90.proof ; Not Proved ; 4,32892
91F.proof ; Not Proved ; 2,07838
91.proof ; Not Proved ; Timeout
92.proof ; Not Proved ; 64,8715
93.proof ; Not Proved ; 2,03145
94.proof ; Not Proved ; 3,60953
95.proof ; Not Proved ; 4,54373
96.proof ; Not Proved ; 1,65747
97.proof ; Not Proved ; 2,55543
98.proof ; Not Proved ; 0,128623
99.proof ; Not Proved ; 1,19069
9point.proof ; Not Proved ; Timeout
